customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
df0aa5b8586495e0ddf6b601122e43a1,85d234692f7bee8d6fea586e237334b6,13175,sumare,SP,72bd19ef4fa285334b95bda01a3718c7,df0aa5b8586495e0ddf6b601122e43a1,delivered,"2018-05-09 13:01:24","2018-05-09 13:11:21","2018-05-11 14:03:00","2018-05-16 16:58:37","2018-05-25 00:00:00",72bd19ef4fa285334b95bda01a3718c7,1,a8e69cb7ca2c04d5ba7f73b2385f2a76,e8a85b5f3df47be0984c55fd4064dbb4,"2018-05-15 13:11:21",45,17.06,a8e69cb7ca2c04d5ba7f73b2385f2a76,esporte_lazer,53,2422,2,107,18,9,14
4b003ee1eabaffe8ff8e6d75394a9b42,941590fb8aef66b3a8352fe7c691879e,48700,serrinha,BA,760312f5735ee281f01e56d5ddee05e3,4b003ee1eabaffe8ff8e6d75394a9b42,delivered,"2018-06-11 15:32:06","2018-06-11 16:00:43","2018-06-12 11:04:00","2018-06-20 23:08:27","2018-07-17 00:00:00",760312f5735ee281f01e56d5ddee05e3,1,0609678aec06f28cd8e177550d26e73b,a673821011d0cec28146ea42f5ab767f,"2018-06-15 16:00:43",74.99,25.58,0609678aec06f28cd8e177550d26e73b,cama_mesa_banho,51,394,1,1400,20,30,26
4b003ee1eabaffe8ff8e6d75394a9b42,941590fb8aef66b3a8352fe7c691879e,48700,serrinha,BA,760312f5735ee281f01e56d5ddee05e3,4b003ee1eabaffe8ff8e6d75394a9b42,delivered,"2018-06-11 15:32:06","2018-06-11 16:00:43","2018-06-12 11:04:00","2018-06-20 23:08:27","2018-07-17 00:00:00",760312f5735ee281f01e56d5ddee05e3,2,2f48e99df2052ce8a7d14855ea40e838,a673821011d0cec28146ea42f5ab767f,"2018-06-15 16:00:43",74.99,25.58,2f48e99df2052ce8a7d14855ea40e838,cama_mesa_banho,48,392,1,1150,35,10,35
1681471e9172d7e12ba08e9ac9e8628b,84032c13e75382a35c99ae73156b30b9,20250,"rio de janeiro",RJ,0daf1f0e67b534ad873ba61c5d6ad7d3,1681471e9172d7e12ba08e9ac9e8628b,delivered,"2017-09-05 10:54:17","2017-09-06 11:03:50","2017-09-09 13:23:11","2017-09-19 15:35:03","2017-09-25 00:00:00",0daf1f0e67b534ad873ba61c5d6ad7d3,1,1f30aacc69904c0d0bf8d05cb2abef72,4a3ca9315b744ce9f8e9374361493884,"2017-09-13 11:03:50",135,18.2,1f30aacc69904c0d0bf8d05cb2abef72,cama_mesa_banho,58,293,1,1850,40,10,30
a4a00c41b5e3ed88bf0e0bb96576c2b2,94e89532396b3c02f648b2bc7f93f528,26115,"belford roxo",RJ,4a5cc9b4e332e03d76bf553a7f2fa5d3,a4a00c41b5e3ed88bf0e0bb96576c2b2,delivered,"2017-12-15 23:33:32","2017-12-18 00:33:04","2017-12-19 01:35:09","2018-01-03 23:13:15","2018-01-16 00:00:00",4a5cc9b4e332e03d76bf553a7f2fa5d3,1,c2ccc78b5a924096d5274ca6a3118e47,709e16e2b25c7474d980076c6bfc4806,"2017-12-22 00:31:46",159.9,16.88,c2ccc78b5a924096d5274ca6a3118e47,beleza_saude,23,814,1,567,43,8,28
e773252cc3222d0c3ae7694b271e2e32,8533fef411165ea5df3fe583670a76cf,14270,"santa rosa de viterbo",SP,8d52f577ba7567489fd16d17e594616d,e773252cc3222d0c3ae7694b271e2e32,delivered,"2018-03-14 21:15:33","2018-03-14 21:28:38","2018-03-15 16:07:47","2018-03-19 23:27:23","2018-04-02 00:00:00",8d52f577ba7567489fd16d17e594616d,1,100e8441d08795468a34832962d2eaf6,b499c00f28f4b7069ff6550af8c1348a,"2018-03-20 21:28:38",109.99,14.86,100e8441d08795468a34832962d2eaf6,moveis_decoracao,63,200,4,950,20,5,20
41ce2a54c0b03bf3443c3d931a367089,3a653a41f6f9fc3d2a113cf8398680e8,75265,vianopolis,GO,47770eb9100c2d0c44946d9cf07ec65d,41ce2a54c0b03bf3443c3d931a367089,delivered,"2018-08-08 08:38:49","2018-08-08 08:55:23","2018-08-08 13:50:00","2018-08-17 18:06:29","2018-09-04 00:00:00",47770eb9100c2d0c44946d9cf07ec65d,1,aa4383b373c6aca5d8797843e5594415,4869f7a5dfa277a7dca6462dcf3b52b2,"2018-08-13 08:55:23",159.9,19.22,aa4383b373c6aca5d8797843e5594415,automotivo,46,232,1,420,24,19,21
5ad934ace4646e3dad70148a823eb138,795ec127906a9e161109399a70f5826d,39480,januaria,MG,22ff7c206b68858435452298296c2fcb,5ad934ace4646e3dad70148a823eb138,delivered,"2017-04-27 10:24:22","2017-04-27 10:35:12","2017-04-28 14:07:00","2017-05-11 17:22:55","2017-05-25 00:00:00",22ff7c206b68858435452298296c2fcb,1,da1cfaaffa7720fe28f26f18d52f5ad9,0ea22c1cfbdc755f86b9b54b39c16043,"2017-05-04 10:32:12",39.9,10.96,da1cfaaffa7720fe28f26f18d52f5ad9,fashion_bolsas_e_acessorios,59,409,3,150,16,9,11
9aad6db5643769b3d802a87328ec31e2,463d8425827e81d905edf86f9c231eef,28909,"cabo frio",RJ,95fa26b6ea476ed040e592e0a825d6f0,9aad6db5643769b3d802a87328ec31e2,delivered,"2018-06-06 13:48:42","2018-06-06 14:13:02","2018-06-06 14:02:00","2018-06-11 16:55:40","2018-07-12 00:00:00",95fa26b6ea476ed040e592e0a825d6f0,1,da8b72e46537fe5af3ade4bc6120f05c,edb1ef5e36e0c8cd84eb3c9b003e486d,"2018-06-14 14:13:02",149.65,14.04,da8b72e46537fe5af3ade4bc6120f05c,beleza_saude,53,168,1,100,16,12,12
7f8c8b9c2ae27bf3300f670c3d478be8,634f09f6075fe9032e6c19609ffe995a,44024,"feira de santana",BA,83018ec114eee8641c97e08f7b4e926f,7f8c8b9c2ae27bf3300f670c3d478be8,delivered,"2017-10-26 15:54:26","2017-10-26 16:08:14","2017-10-26 21:46:53","2017-11-08 22:22:00","2017-11-23 00:00:00",83018ec114eee8641c97e08f7b4e926f,1,c35498fbb4358837ae16850f50c3fd22,70a12e78e608ac31179aea7f8422044b,"2017-11-01 16:07:35",76,16.97,c35498fbb4358837ae16850f50c3fd22,telefonia,59,973,1,325,19,8,22
