product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name,product_category_name_english,order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
8cab8abac59158715e0d70a36c807415,esporte_lazer,56,1392,4,1050,40,20,30,esporte_lazer,sports_leisure,0009792311464db532ff765bf7b182ae,1,8cab8abac59158715e0d70a36c807415,530ec6109d11eaaf87999465c6afee01,"2018-08-17 12:15:10",99.9,27.65
b50c950aba0dcead2c48032a690ce817,esporte_lazer,58,2584,1,1800,16,16,16,esporte_lazer,sports_leisure,000c3e6612759851cc3cbb4b83257986,1,b50c950aba0dcead2c48032a690ce817,218d46b86c1881d022bce9c68a7d4b15,"2017-08-21 03:33:13",99,13.71
53b36df67ebb7c41585e8d54d6772e08,relogios_presentes,33,523,3,584,16,11,13,relogios_presentes,watches_gifts,00404fa7a687c8c44ca69d42695aae73,1,53b36df67ebb7c41585e8d54d6772e08,7d13fca15225358621be4086e1eb0964,"2018-05-15 04:31:26",99.9,0
5e21d5cab5d33e770d8150a4ee6117db,relogios_presentes,60,312,4,200,16,2,11,relogios_presentes,watches_gifts,00418a49a685c6bb60633291c3fab17a,1,5e21d5cab5d33e770d8150a4ee6117db,6560211a19b47992c3666cc44a7e94c0,"2017-10-09 20:50:45",49,7.78
d0fb1e667e989933a80444f93da833c0,utilidades_domesticas,47,390,3,525,18,19,16,utilidades_domesticas,housewares,004345d16a1ab2c21962992c721c8643,1,d0fb1e667e989933a80444f93da833c0,0be8ff43f22e456b4e0371b2245e4d01,"2018-07-10 07:31:33",37.9,15.37
601a360bd2a916ecef0e88de72a6531a,cool_stuff,33,897,1,1600,42,25,15,cool_stuff,cool_stuff,004fb5e6f90a178dc74ad2b016649249,1,601a360bd2a916ecef0e88de72a6531a,7a67c85e85bb2ce8582c35f2203ad736,"2017-06-15 10:02:38",129.99,13.93
2f763ba79d9cd987b2034aac7ceffe06,eletronicos,45,1198,2,595,8,6,6,eletronicos,electronics,0068468c453d28c8ef3fd089e50a5847,1,2f763ba79d9cd987b2034aac7ceffe06,822bad9bc42b51213ba522fe87b7ab5d,"2017-11-30 00:52:42",469,20.85
31a2f42a87890f87d77daebdfabc182e,brinquedos,58,419,5,1700,30,35,25,brinquedos,toys,0070092bb6004faafa287e5fc35971e9,1,31a2f42a87890f87d77daebdfabc182e,4c03b9dd4c11ee2cb35c96c49efc9420,"2017-07-31 11:55:24",149,14.06
ce130b350f529a1d6288f927da7404ea,cama_mesa_banho,50,171,1,1450,45,10,15,cama_mesa_banho,bed_bath_table,007beb35f98c075747e6fc4fd1c0cb73,1,ce130b350f529a1d6288f927da7404ea,e38db885400cd35c71dfd162f2c1dbcf,"2017-09-28 08:50:17",64.9,18.69
a963ea4d494221de09b70f1b4a70edbd,informatica_acessorios,58,240,1,150,35,8,11,informatica_acessorios,computers_accessories,0084e195fbd72ae51599af47f04afede,1,a963ea4d494221de09b70f1b4a70edbd,bd0389da23d89b726abf911cccc54596,"2018-03-21 00:10:59",89.9,23.13
